Sport,Event
Gymnastics,Gymnastics Men's Individual All-Around
Gymnastics,Gymnastics Men's Team All-Around
Gymnastics,Gymnastics Men's Floor Exercise
Gymnastics,Gymnastics Men's Horse Vault
Gymnastics,Gymnastics Men's Parallel Bars
Gymnastics,Gymnastics Men's Horizontal Bar
Gymnastics,Gymnastics Men's Rings
Gymnastics,Gymnastics Men's Pommelled Horse
Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Boxing,Boxing Men's Heavyweight
Fencing,"Fencing Men's Foil, Individual"
Fencing,"Fencing Men's Foil, Team"
Fencing,"Fencing Men's epee, Team"
Wrestling,"Wrestling Men's Featherweight, Freestyle"
Water Polo,Water Polo Men's Water Polo
Swimming,Swimming Men's 100 metres Freestyle
Swimming,Swimming Men's 100 metres Backstroke
Fencing,"Fencing Men's epee, Individual"
Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
Hockey,Hockey Men's Hockey
Diving,Diving Men's Platform
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Athletics,Athletics Women's Discus Throw
Football,Football Men's Football
Basketball,Basketball Men's Basketball
Fencing,"Fencing Men's Sabre, Individual"
Fencing,"Fencing Men's Sabre, Team"
Athletics,Athletics Men's 400 metres
Athletics,Athletics Men's 4 x 400 metres Relay
Rowing,Rowing Men's Coxed Eights
Bobsleigh,Bobsleigh Men's Four
Equestrianism,"Equestrianism Men's Jumping, Individual"
Equestrianism,"Equestrianism Men's Jumping, Team"
Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
Athletics,Athletics Men's Long Jump
Athletics,Athletics Men's Decathlon
Figure Skating,Figure Skating Women's Singles
Athletics,Athletics Men's 800 metres
Athletics,"Athletics Men's 1,500 metres"
Fencing,"Fencing Women's Foil, Individual"
Athletics,Athletics Men's High Jump
Boxing,Boxing Men's Flyweight
Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
Boxing,Boxing Men's Welterweight
Boxing,Boxing Men's Bantamweight
Swimming,Swimming Men's 400 metres Freestyle
Swimming,"Swimming Men's 1,500 metres Freestyle"
Athletics,Athletics Men's Triple Jump
Art Competitions,"Art Competitions Mixed Painting, Unknown Event"
Athletics,"Athletics Men's 5,000 metres"
Swimming,Swimming Women's 100 metres Freestyle
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
Wrestling,"Wrestling Men's Middleweight, Freestyle"
Gymnastics,Gymnastics Women's Team All-Around
Wrestling,"Wrestling Men's Bantamweight, Freestyle"
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
